 #Opacity coefficient HI (B5V)
 # 1/Lambda [mu m^-1]              k_bf [cm^2]               k_ff [cm^2]
   100.00000000000000        1.3339314567276053E-020   2.1527064145436083E-030
   90.909090909090907        1.7526315565351114E-020   2.8414867116525328E-030
   83.333333333333329        2.2483529147004606E-020   3.6616982107385478E-030
   76.923076923076920        2.8269286926553559E-020   4.6244466893505806E-030
   71.428571428571431        3.4940785608116018E-020   5.7407935401944928E-030
   66.666666666666671        4.2554138941612512E-020   7.0217602855026491E-030
   62.500000000000000        5.1164422576845864E-020   8.4783323436804587E-030
   58.823529411764703        6.0825713253527475E-020   1.0121462213649773E-029
   55.555555555555557        7.1591123396289551E-020   1.1962072197642169E-029
   52.631578947368418        8.3512831926589001E-020   1.4011056752516611E-029
   50.000000000000000        9.6642111919613580E-020   1.6279284538067433E-029
   47.619047619047620        1.1102935560004706E-019   1.8777600215230635E-029
   45.454545454545453        1.2672409707058550E-019   2.1516826035675958E-029
   43.478260869565219        1.4377503309139675E-019   2.4507763255743827E-029
   41.666666666666664        1.6223004217051283E-019   2.7761193401219101E-029
   40.000000000000000        1.8213620217978495E-019   3.1287879404461552E-029
   38.461538461538460        2.0353980667524421E-019   3.5098566631542128E-029
   37.037037037037038        2.2648638007215632E-019   3.9203983813986777E-029
   35.714285714285715        2.5102069180204925E-019   4.3614843897304798E-029
   34.482758620689658        2.7718676956026979E-019   4.8341844816532012E-029
   33.333333333333336        3.0502791173726751E-019   5.3395670207441358E-029
   32.258064516129032        3.3458669911409995E-019   5.8786990060785334E-029
   31.250000000000000        3.6590500589207527E-019   6.4526461325875208E-029
   30.303030303030305        3.9902401011756918E-019   7.0624728468922726E-029
   29.411764705882351        4.3398420355556869E-019   7.7092423990839186E-029
   28.571428571428573        4.7082540105913356E-019   8.3940168908571237E-029
   27.777777777777779        5.0958674947654003E-019   9.1178573203535231E-029
   27.027027027027028        5.5030673613321354E-019   9.8818236240272140E-029
   26.315789473684209        5.9302319692154518E-019   1.0686974715807080E-028
   25.641025641025642        6.3777332402820519E-019   1.1534368523798630E-028
   25.000000000000000        6.8459367332554542E-019   1.2425062024740400E-028
   24.390243902439025        7.3352017145104267E-019   1.3360111276406252E-028
   23.809523809523810        7.8458812259641417E-019   1.4340571448124162E-028
   23.255813953488371        8.3783221502600616E-019   1.5367496849564101E-028
   22.727272727272727        8.9328652734225538E-019   1.6441940957931996E-028
   22.222222222222221        9.5098453451442629E-019   1.7564956443692886E-028
   21.739130434782609        1.0109591136854198E-018   1.8737595194934438E-028
   21.276595744680851        1.0732425497701869E-018   1.9960908340471149E-028
   20.833333333333332        1.1378665408581449E-018   2.1235946271780246E-028
   20.408163265306122        1.2048622034309974E-018   2.2563758663851949E-028
   20.000000000000000        1.2742600774064474E-018   2.3945394495029198E-028
   19.607843137254903        1.3460901310174727E-018   2.5381902065905425E-028
   19.230769230769230        1.4203817655361023E-018   2.6874329017343018E-028
   18.867924528301888        1.4971638198499646E-018   2.8423722347669766E-028
   18.518518518518519        1.5764645748992725E-018   3.0031128429105784E-028
   18.181818181818183        1.6583117579813612E-018   3.1697593023469364E-028
   17.857142857142858        1.7427325469294026E-018   3.3424161297205866E-028
   17.543859649122808        1.8297535741714541E-018   3.5211877835780879E-028
   17.241379310344829        1.9194009306755899E-018   3.7061786657475129E-028
   16.949152542372882        2.0117001697864905E-018   3.8974931226616242E-028
   16.666666666666668        2.1066763109584909E-018   4.0952354466279514E-028
   16.393442622950818        2.2043538433898073E-018   4.2995098770487607E-028
