 #Opacity coefficient HI (G2V)
 # 1/Lambda [mu m^-1]              k_bf [cm^2]               k_ff [cm^2]
   100.00000000000000        1.3338525279502075E-020   8.2142744764847143E-031
   90.909090909090907        1.7525274664289515E-020   1.0842515083825789E-030
   83.333333333333329        2.2482188964561756E-020   1.3972269488165575E-030
   76.923076923076920        2.8267595851012177E-020   1.7645914998568393E-030
   71.428571428571431        3.4938688111615119E-020   2.1905659560881324E-030
   66.666666666666671        4.2551575605681131E-020   2.6793558983618060E-030
   62.500000000000000        5.1161330116292897E-020   3.2351531310689159E-030
   58.823529411764703        6.0822024538924644E-020   3.8621368972186079E-030
   55.555555555555557        7.1586767475237181E-020   4.5644749173987130E-030
   52.631578947368418        8.3507734043917736E-020   5.3463242869890635E-030
   50.000000000000000        9.6636193536648645E-020   6.2118322577526954E-030
   47.619047619047620        1.1102253441303976E-019   7.1651369239935270E-030
   45.454545454545453        1.2671628702840003E-019   8.2103678291112162E-030
   43.478260869565219        1.4376614441252742E-019   9.3516465051297366E-030
   41.666666666666664        1.6221998135949511E-019   1.0593086955308414E-029
   40.000000000000000        1.8212487204305610E-019   1.1938796088046979E-029
   38.461538461538460        2.0352710633650055E-019   1.3392874108819138E-029
   37.037037037037038        2.2647220498724962E-019   1.4959414875706408E-029
   35.714285714285715        2.5100493377345825E-019   1.6642506223178665E-029
   34.482758620689658        2.7716931675118010E-019   1.8446230258025090E-029
   33.333333333333336        3.0500864868528752E-019   2.0374663630737158E-029
   32.258064516129032        3.3456550674463953E-019   2.2431877785153818E-029
   31.250000000000000        3.6588176153140916E-019   2.4621939188774523E-029
   30.303030303030305        3.9899858750560681E-019   2.6948909545810782E-029
   29.411764705882351        4.3395647285834752E-019   2.9416845994767327E-029
   28.571428571428573        4.7079522888105490E-019   3.2029801292109690E-029
   27.777777777777779        5.0955399887236030E-019   3.4791823983377372E-029
   27.027027027027028        5.5027126661980701E-019   3.7706958562933722E-029
   26.315789473684209        5.9298486448944919E-019   4.0779245623401144E-029
   25.641025641025642        6.3773198115296075E-019   4.4012721995707515E-029
   25.000000000000000        6.8454916897884312E-019   4.7411420880564632E-029
   24.390243902439025        7.3347235111168450E-019   5.0979371972108578E-029
   23.809523809523810        7.8453682826110008E-019   5.4720601574352914E-029
   23.255813953488371        8.3777728521995334E-019   5.8639132711037241E-029
   22.727272727272727        8.9322779712965732E-019   6.2738985229393555E-029
   22.222222222222221        9.5092183550876180E-019   6.7024175898300521E-029
   21.739130434782609        1.0108922740596171E-018   7.1498718501249414E-029
   21.276595744680851        1.0731713942666456E-018   7.6166623924504874E-029
   20.833333333333332        1.1377908907986281E-018   8.1031900240807789E-029
   20.408163265306122        1.2047818767263954E-018   8.6098552788935422E-029
   20.000000000000000        1.2741748885664187E-018   9.1370584249405658E-029
   19.607843137254903        1.3459998911599669E-018   9.6851994716586941E-029
   19.230769230769230        1.4202862823967704E-018   1.0254678176745293E-028
   18.867924528301888        1.4970628977914613E-018   1.0845894052720046E-028
   18.518518518518519        1.5763580149204516E-018   1.1459246373193132E-028
   18.181818181818183        1.6581993577263722E-018   1.2095134178858239E-028
