#Values from KURUCZ MODEL
#T_eff = 5770 K
#Tau(500)       Kapa(500)
0.0             -2.2276
-3.5954         -2.2276
-3.5094         -2.1650
-3.4435         -2.1210
-3.3837         -2.0864
-3.3093         -2.0413
-3.2214         -1.9934
-3.1188         -1.9386
-3.0035         -1.8801
-2.8768         -1.8176
-2.7407         -1.7523
-2.5974         -1.6848
-2.4487         -1.6157
-2.2966         -1.5458
-2.1424         -1.4755
-1.9866         -1.4049
-1.8295         -1.3341
-1.6714         -1.2630
-1.5122         -1.1915
-1.3527         -1.1200
-1.1931         -1.0482
-1.0344         -0.9765
-0.8763         -0.9037
-0.7176         -0.8258
-0.5576         -0.7359
-0.3973         -0.6200
-0.2361         -0.4622
-0.0749         -0.2305
0.0840          0.0328
0.2242          0.2496
